"","Date","USA_Life_EXP","Chinese_Life_EXP","Japanese_Life_EXP","German_Life_EXP","French_Life_EXP","Brazil_Life_EXP","UK_Life_EXP","Italy_Life_EXP","Russia_Life_EXP","India_Life_EXP"
"1",2012-12-31,78.741463414634,75.199512195122,83.096097560976,80.892682926829,81.968292682927,73.61787804878,80.904878048781,82.936585365854,70.365853658537,66.210853658537
"2",2011-12-31,78.641463414634,75.042,82.591219512195,80.741463414634,82.114634146342,73.347365853659,80.951219512195,82.636585365854,69.658536585366,65.958487804878
"3",2010-12-31,78.541463414634,74.885024390244,82.842682926829,79.987804878049,81.663414634146,73.075317073171,80.40243902439,82.336585365854,68.856097560976,65.694243902439
"4",2009-12-31,78.090243902439,74.731634146342,82.931463414634,79.836585365854,81.414634146341,72.804170731707,80.051219512195,81.936585365854,68.604878048781,65.413195121951
"5",2008-12-31,77.939024390244,74.579829268293,82.58756097561,79.736585365854,81.214634146341,72.53387804878,79.6,81.734146341463,67.848780487805,65.113390243903
"6",2007-12-31,77.839024390244,74.424073170732,82.507073170732,79.534146341463,81.112195121951,72.262902439024,79.448780487805,81.382926829268,67.49756097561,64.793853658537
"7",2006-12-31,77.587804878049,74.256317073171,82.321951219512,79.131707317073,80.812195121951,71.991780487805,79.248780487805,81.280487804878,66.643170731707,64.455097560976
"8",2005-12-31,77.339024390244,74.053902439024,81.925121951219,78.931707317073,80.163414634146,71.718536585366,79.048780487805,80.731707317073,65.47,64.097585365854
"9",2004-12-31,77.339024390244,73.793707317073,82.030243902439,78.680487804878,80.163414634146,71.441780487805,78.746341463415,80.778048780488,65.421219512195,63.724268292683
"10",2003-12-31,76.987804878049,73.465097560976,81.76,78.380487804878,79.114634146342,71.159609756098,78.446341463415,79.880487804878,65.00756097561,63.340048780488
"11",2002-12-31,76.836585365854,73.069609756098,81.563414634146,78.229268292683,79.260975609756,70.86956097561,78.143902439024,80.229268292683,65.085365853659,62.949341463415
